DATE;VALEURS;Qtites;Nominal;VAL.  Bilan;SGI;SYMBOL;Reference;TYPE_VALEUR
31/12/2010;SOLIBRA;100;99900;9 990 000;NSIAFINANCE;SLBC;1000001;ACTIONS
10/05/2011;TRITURAF;90;7875;708 750;NSIAFINANCE;TTRC;1000000;ACTIONS
27/12/2012;PALMCI;97;15500;1 503 500;NSIAFINANCE;PALC;1144188;ACTIONS
08/01/2013;SOGB;345;64000;22 080 000;NSIAFINANCE;SOGC;1145606;ACTIONS
16/01/2013;PALMCI;1000;16000;16 000 000;NSIAFINANCE;PALC;1146252;ACTIONS
21/01/2013;SOGB;250;60000;15 000 000;NSIAFINANCE;SOGC;1147044;ACTIONS
25/01/2013;PALMCI;100;15200;1 520 000;NSIAFINANCE;PALC;1147541;ACTIONS
28/01/2013;PALMCI;163;15200;2 477 600;NSIAFINANCE;PALC;1147928;ACTIONS
31/01/2013;PALMCI;286;15700;4 490 200;NSIAFINANCE;PALC;1148638;ACTIONS
01/02/2013;PALMCI;74;16500;1 221 000;NSIAFINANCE;PALC;1148963;ACTIONS
04/02/2013;PALMCI;280;15990;4 477 200;NSIAFINANCE;PALC;1149046;ACTIONS
25/04/2013;SAPH;110;39000;4 290 000;NSIAFINANCE;SPHC;1159687;ACTIONS
25/04/2013;SOGB;150;53300;7 995 000;NSIAFINANCE;SOGC;1159523;ACTIONS
14/05/2013;SAPH;235;25745;6 050 075;NSIAFINANCE;SPHC;1161682;ACTIONS
14/05/2013;SAPH;255;26500;6 757 500;NSIAFINANCE;SPHC;1161740;ACTIONS
16/05/2013;SAPH;500;27000;13 500 000;NSIAFINANCE;SPHC;1161993;ACTIONS
06/06/2013;SOGB;12;50875;610 500;NSIAFINANCE;SOGC;1164344;ACTIONS
13/06/2013;MOVIS CI;250;11000;2 750 000;NSIAFINANCE;SVOC;1165028;ACTIONS
23/08/2013;PALMCI;44;16500;726 000;NSIAFINANCE;PALC;1173135;ACTIONS
12/09/2013;PALMCI;200;15500;3 100 000;NSIAFINANCE;PALC;1175393;ACTIONS
07/10/2013;PALMCI;66;16000;1 056 000;NSIAFINANCE;PALC;1178204;ACTIONS
28/01/2014;SOGB;48;47500;2 280 000;NSIAFINANCE;SOGC;1192288;ACTIONS
21/02/2014;SOGB;195;46500;9 067 500;NSIAFINANCE;SOGC;1194754;ACTIONS
30/05/2014;PALMCI;1991;17500;34 842 500;NSIAFINANCE;PALC;1213331;ACTIONS
30/05/2014;UNILEVER;106;53888;5 712 116;NSIAFINANCE;UNLC;1213337;ACTIONS
02/06/2014;PALMCI;2;17900;35 800;NSIAFINANCE;PALC;1213486;ACTIONS
03/06/2014;UNILEVER;102;58102;5 926 404;NSIAFINANCE;UNLC;1213518;ACTIONS
04/06/2014;SOLIBRA;204;250000;51 000 000;NSIAFINANCE;SLBC;1213591;ACTIONS
11/06/2014;PALMCI;97;17278;1 675 966;NSIAFINANCE;PALC;1214048;ACTIONS
19/06/2014;PALMCI;100;16504;1 650 400;NSIAFINANCE;PALC;1215768;ACTIONS
11/07/2014;PALMCI;90;17500;1 575 000;NSIAFINANCE;PALC;1217813;ACTIONS
11/07/2014;PALMCI;363;17723;6 433 449;NSIAFINANCE;PALC;1217882;ACTIONS
16/07/2014;PALMCI;47;18800;883 600;NSIAFINANCE;PALC;1218441;ACTIONS
29/07/2014;SOLIBRA;100;230300;23 030 000;NSIAFINANCE;SLBC;1219837;ACTIONS
05/08/2014;SOLIBRA;106;220991;23 424 993;NSIAFINANCE;SLBC;1220726;ACTIONS
05/09/2014;SOLIBRA;90;237002;21 330 180;NSIAFINANCE;SLBC;1224157;ACTIONS
12/09/2014;SOLIBRA;90;243500;21 915 000;NSIAFINANCE;SLBC;1225315;ACTIONS
15/09/2014;SOLIBRA;110;243091;26 739 955;NSIAFINANCE;SLBC;1225701;ACTIONS
18/09/2014;ETIT;404364;60;24 261 840;NSIAFINANCE;ETIT;1225965;ACTIONS
19/09/2014;ETIT;128994;63;8 126 622;NSIAFINANCE;ETIT;1226171;ACTIONS
05/11/2014;PALMCI;1192;15300;18 237 600;NSIAFINANCE;PALC;1232518;ACTIONS
14/11/2014;PALMCI;3281;15506;50 873 900;NSIAFINANCE;PALC;1234087;ACTIONS
24/11/2014;SOLIBRA;2;190800;381 600;NSIAFINANCE;SLBC;1234706;ACTIONS
28/11/2014;SOLIBRA;4;205000;820 000;NSIAFINANCE;SLBC;1235185;ACTIONS
11/12/2014;SAPH;23;16960;390 080;NSIAFINANCE;SPHC;1236159;ACTIONS
24/12/2014;MOVIS CI;70;7395;517 650;NSIAFINANCE;SVOC;1237821;ACTIONS
26/01/2015;PALMCI;1124;18693;21 010 859;NSIAFINANCE;PALC;1245623;ACTIONS
27/01/2015;PALMCI;400;18770;7 508 000;NSIAFINANCE;PALC;1245935;ACTIONS
29/01/2015;AIR LIQUIDE;150;20843;3 126 488;NSIAFINANCE;SIVC;1246143;ACTIONS
29/01/2015;PALMCI;540;19092;10 309 680;NSIAFINANCE;PALC;1246141;ACTIONS
30/01/2015;AIR LIQUIDE;43;22345;960 835;NSIAFINANCE;SIVC;1246299;ACTIONS
02/03/2015;AIR LIQUIDE;100;26000;2 600 000;NSIAFINANCE;SIVC;1250402;ACTIONS
15/04/2015;AIR LIQUIDE;300;22675;6 802 500;NSIAFINANCE;SIVC;1259865;ACTIONS
22/04/2015;PALMCI;300;17994;5 398 200;NSIAFINANCE;PALC;1262750;ACTIONS
28/04/2015;AIR LIQUIDE;139;23500;3 266 500;NSIAFINANCE;SIVC;1263562;ACTIONS
10/06/2015;TOTAL SENEGAL;48;27500;1 320 000;NSIAFINANCE;TTLS;1272748;ACTIONS
11/06/2015;TOTAL SENEGAL;192;27482;5 276 544;NSIAFINANCE;TTLS;1272980;ACTIONS
18/06/2015;PALMCI;1500;16300;24 450 000;NSIAFINANCE;PALC;1274550;ACTIONS
10/07/2015;PALMCI;10060;15002;150 919 661;NSIAFINANCE;PALC;1279919;ACTIONS
20/07/2015;PALMCI;14475;14800;214 233 595;NSIAFINANCE;PALC;1281073;ACTIONS
22/07/2015;PALMCI;2946;14800;43 600 800;NSIAFINANCE;PALC;1282035;ACTIONS
23/07/2015;PALMCI;4182;14800;61 893 600;NSIAFINANCE;PALC;1282443;ACTIONS
29/07/2015;SONATEL;3144;28531;89 702 643;NSIAFINANCE;SNTS;1284874;ACTIONS
31/07/2015;SONATEL;4800;28217;135 441 505;NSIAFINANCE;SNTS;1285131;ACTIONS
05/08/2015;SONATEL;2663;27573;73 428 100;NSIAFINANCE;SNTS;1286308;ACTIONS
06/08/2015;PALMCI;2000;14203;28 406 466;NSIAFINANCE;PALC;1286831;ACTIONS
12/08/2015;PALMCI;1312;15900;20 860 800;NSIAFINANCE;PALC;1287078;ACTIONS
13/08/2015;PALMCI;1000;15190;15 190 000;NSIAFINANCE;PALC;1287259;ACTIONS
14/08/2015;SONATEL;2000;27005;54 010 000;NSIAFINANCE;SNTS;1288379;ACTIONS
17/08/2015;BOA SENEGAL;70;83350;5 834 500;NSIAFINANCE;BOAS;1289449;ACTIONS
17/08/2015;SONATEL;1000;27000;27 000 000;NSIAFINANCE;SNTS;1289546;ACTIONS
18/08/2015;PALMCI;1615;15816;25 543 555;NSIAFINANCE;PALC;1289641;ACTIONS
20/08/2015;BOA SENEGAL;249;85000;21 165 000;NSIAFINANCE;BOAS;1290079;ACTIONS
21/08/2015;PALMCI;2700;16300;44 010 000;NSIAFINANCE;PALC;1290343;ACTIONS
24/08/2015;SONATEL;3000;26478;79 434 358;NSIAFINANCE;SNTS;1290689;ACTIONS
25/08/2015;BOA SENEGAL;328;82806;27 160 500;NSIAFINANCE;BOAS;1290845;ACTIONS
26/08/2015;SONATEL;3000;26000;77 999 785;NSIAFINANCE;SNTS;1291265;ACTIONS
31/08/2015;BOA SENEGAL;102;84000;8 568 000;NSIAFINANCE;BOAS;1292509;ACTIONS
02/09/2015;SONATEL;2000;25495;50 990 000;NSIAFINANCE;SNTS;1293531;ACTIONS
03/09/2015;SONATEL;1500;25000;37 500 000;NSIAFINANCE;SNTS;1293909;ACTIONS
09/09/2015;BOA SENEGAL;110;85433;9 397 600;NSIAFINANCE;BOAS;1295313;ACTIONS
